,TIME,GEO,AGEDEF,AGE,UNIT,SEX,Value
272,2013,Hungary,Age reached during the year,Total,Number,Total,38968.0
273,2013,Malta,Age reached during the year,Total,Number,Total,8428.0
274,2013,Netherlands,Age reached during the year,Total,Number,Total,129428.0
275,2013,Austria,Age reached during the year,Total,Number,Total,101866.0
276,2013,Poland,Age reached during the year,Total,Number,Total,220311.0
277,2013,Portugal,Age reached during the year,Total,Number,Total,17554.0
278,2013,Romania,Age reached during the year,Total,Number,Total,153646.0
279,2013,Slovenia,Age reached during the year,Total,Number,Total,13871.0
280,2013,Slovakia,Age reached during the year,Total,Number,Total,5149.0
281,2013,Finland,Age reached during the year,Total,Number,Total,31941.0
282,2013,Sweden,Age reached during the year,Total,Number,Total,115845.0
283,2013,United Kingdom,Age reached during the year,Total,Number,Total,526046.0
284,2013,Iceland,Age reached during the year,Total,Number,Total,6406.0
285,2013,Liechtenstein,Age reached during the year,Total,Number,Total,696.0
286,2013,Norway,Age reached during the year,Total,Number,Total,68313.0
287,2013,Switzerland,Age reached during the year,Total,Number,Total,160157.0
288,2014,Belgium,Age reached during the year,Total,Number,Total,124844.0
289,2014,Bulgaria,Age reached during the year,Total,Number,Total,26615.0
290,2014,Czech Republic,Age reached during the year,Total,Number,Total,29897.0
291,2014,Denmark,Age reached during the year,Total,Number,Total,68388.0
292,2014,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,884893.0
293,2014,Estonia,Age reached during the year,Total,Number,Total,3904.0
294,2014,Ireland,Age reached during the year,Total,Number,Total,67401.0
295,2014,Greece,Age reached during the year,Total,Number,Total,59013.0
296,2014,Spain,Age reached during the year,Total,Number,Total,305454.0
297,2014,France,Age reached during the year,Total,Number,Total,339902.0
298,2014,Croatia,Age reached during the year,Total,Number,Total,10638.0
299,2014,Italy,Age reached during the year,Total,Number,Total,277631.0
300,2014,Cyprus,Age reached during the year,Total,Number,Total,9154.0
301,2014,Latvia,Age reached during the year,Total,Number,Total,10365.0
302,2014,Lithuania,Age reached during the year,Total,Number,Total,24294.0
303,2014,Luxembourg,Age reached during the year,Total,Number,Total,22332.0
304,2014,Hungary,Age reached during the year,Total,Number,Total,54581.0
305,2014,Malta,Age reached during the year,Total,Number,Total,8946.0
306,2014,Netherlands,Age reached during the year,Total,Number,Total,145323.0
307,2014,Austria,Age reached during the year,Total,Number,Total,116262.0
308,2014,Poland,Age reached during the year,Total,Number,Total,222275.0
309,2014,Portugal,Age reached during the year,Total,Number,Total,19516.0
310,2014,Romania,Age reached during the year,Total,Number,Total,136035.0
311,2014,Slovenia,Age reached during the year,Total,Number,Total,13846.0
312,2014,Slovakia,Age reached during the year,Total,Number,Total,5357.0
313,2014,Finland,Age reached during the year,Total,Number,Total,31507.0
314,2014,Sweden,Age reached during the year,Total,Number,Total,126966.0
315,2014,United Kingdom,Age reached during the year,Total,Number,Total,631991.0
316,2014,Iceland,Age reached during the year,Total,Number,Total,5368.0
317,2014,Liechtenstein,Age reached during the year,Total,Number,Total,615.0
318,2014,Norway,Age reached during the year,Total,Number,Total,66903.0
319,2014,Switzerland,Age reached during the year,Total,Number,Total,156282.0
