TIME,GEO,AGE,SEX,UNIT,Value,Flag and Footnotes
2012,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,509402265,b
2012,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,505126281,b
2012,European Free Trade Association,Total,Total,Number,13296582,
2012,Iceland,Total,Total,Number,319575,
2012,Liechtenstein,Total,Total,Number,36475,
2012,Norway,Total,Total,Number,4985870,
2012,Switzerland,Total,Total,Number,7954662,
2012,Montenegro,Total,Total,Number,620308,
2012,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2059794,
2012,Albania,Total,Total,Number,,
2012,Serbia,Total,Total,Number,7216649,
2012,Turkey,Total,Total,Number,74724269,
2012,Andorra,Total,Total,Number,78115,
2012,Belarus,Total,Total,Number,9465150,
2012,Bosnia and Herzegovina,Total,Total,Number,3839265,
2012,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,,p
2012,Moldova,Total,Total,Number,3559541,
2012,Monaco,Total,Total,Number,,
2012,Russia,Total,Total,Number,143056383,
2012,San Marino,Total,Total,Number,33376,
2012,Ukraine,Total,Total,Number,45453282,
2012,Armenia,Total,Total,Number,3274285,
2012,Azerbaijan,Total,Total,Number,9235085,
2012,Georgia,Total,Total,Number,4497617,
2013,European Union (28 countries),Total,Total,Number,505166839,
2013,European Union (27 countries),Total,Total,Number,500904699,
2013,Euro area (19 countries),Total,Total,Number,336048797,
2013,Euro area (18 countries),Total,Total,Number,333076892,
2013,Belgium,Total,Total,Number,11161642,
2013,Bulgaria,Total,Total,Number,7284552,
2013,Czech Republic,Total,Total,Number,10516125,
2013,Denmark,Total,Total,Number,5602628,
2013,Germany (until 1990 former territory of the FRG),Total,Total,Number,80523746,
2013,Germany (including former GDR),Total,Total,Number,80523746,
2013,Estonia,Total,Total,Number,1320174,
2013,Ireland,Total,Total,Number,4591087,
2013,Greece,Total,Total,Number,11003615,
2013,Spain,Total,Total,Number,46727890,
2013,France,Total,Total,Number,65600350,
2013,France (metropolitan),Total,Total,Number,63697865,
2013,Croatia,Total,Total,Number,4262140,
2013,Italy,Total,Total,Number,59685227,
2013,Cyprus,Total,Total,Number,865878,
2013,Latvia,Total,Total,Number,2023825,
2013,Lithuania,Total,Total,Number,2971905,
2013,Luxembourg,Total,Total,Number,537039,
2013,Hungary,Total,Total,Number,9908798,
2013,Malta,Total,Total,Number,421364,
2013,Netherlands,Total,Total,Number,16779575,
2013,Austria,Total,Total,Number,8451860,
2013,Poland,Total,Total,Number,38062535,
2013,Portugal,Total,Total,Number,10487289,
2013,Romania,Total,Total,Number,20020074,
2013,Slovenia,Total,Total,Number,2058821,
2013,Slovakia,Total,Total,Number,5410836,
2013,Finland,Total,Total,Number,5426674,
2013,Sweden,Total,Total,Number,9555893,
2013,United Kingdom,Total,Total,Number,63905297,
2013,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,510576809,
2013,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,506314669,
2013,European Free Trade Association,Total,Total,Number,13449030,
2013,Iceland,Total,Total,Number,321857,
2013,Liechtenstein,Total,Total,Number,36838,
2013,Norway,Total,Total,Number,5051275,
2013,Switzerland,Total,Total,Number,8039060,
2013,Montenegro,Total,Total,Number,620893,
2013,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2062294,
2013,Albania,Total,Total,Number,,
2013,Serbia,Total,Total,Number,7181505,
2013,Turkey,Total,Total,Number,75627384,
2013,Andorra,Total,Total,Number,76246,
2013,Belarus,Total,Total,Number,9463840,
2013,Bosnia and Herzegovina,Total,Total,Number,,
2013,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,,
2013,Moldova,Total,Total,Number,3559497,
2013,Monaco,Total,Total,Number,,
2013,Russia,Total,Total,Number,,
2013,San Marino,Total,Total,Number,33562,
2013,Ukraine,Total,Total,Number,45372692,
2013,Armenia,Total,Total,Number,,
2013,Azerbaijan,Total,Total,Number,9356483,
2013,Georgia,Total,Total,Number,,
2014,European Union (28 countries),Total,Total,Number,506944075,bep
2014,European Union (27 countries),Total,Total,Number,502697266,bep
2014,Euro area (19 countries),Total,Total,Number,337473384,bp
2014,Euro area (18 countries),Total,Total,Number,334529912,bp
2014,Belgium,Total,Total,Number,11203992,
2014,Bulgaria,Total,Total,Number,7245677,
2014,Czech Republic,Total,Total,Number,10512419,
2014,Denmark,Total,Total,Number,5627235,
2014,Germany (until 1990 former territory of the FRG),Total,Total,Number,80767463,
2014,Germany (including former GDR),Total,Total,Number,80767463,
2014,Estonia,Total,Total,Number,1315819,
2014,Ireland,Total,Total,Number,4605501,p
2014,Greece,Total,Total,Number,10926807,
2014,Spain,Total,Total,Number,46512199,
2014,France,Total,Total,Number,65889148,
2014,France (metropolitan),Total,Total,Number,,
2014,Croatia,Total,Total,Number,4246809,
2014,Italy,Total,Total,Number,60782668,
2014,Cyprus,Total,Total,Number,858000,
2014,Latvia,Total,Total,Number,2001468,
2014,Lithuania,Total,Total,Number,2943472,
2014,Luxembourg,Total,Total,Number,549680,
2014,Hungary,Total,Total,Number,9877365,
2014,Malta,Total,Total,Number,425384,
2014,Netherlands,Total,Total,Number,16829289,
2014,Austria,Total,Total,Number,8506889,
2014,Poland,Total,Total,Number,38017856,
2014,Portugal,Total,Total,Number,10427301,
2014,Romania,Total,Total,Number,19947311,e
2014,Slovenia,Total,Total,Number,2061085,
2014,Slovakia,Total,Total,Number,5415949,
2014,Finland,Total,Total,Number,5451270,
2014,Sweden,Total,Total,Number,9644864,
2014,United Kingdom,Total,Total,Number,64351155,
2014,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,512414845,bep
2014,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,508168036,bep
2014,European Free Trade Association,Total,Total,Number,13610401,
2014,Iceland,Total,Total,Number,325671,
2014,Liechtenstein,Total,Total,Number,37129,
2014,Norway,Total,Total,Number,5107970,
2014,Switzerland,Total,Total,Number,8139631,
2014,Montenegro,Total,Total,Number,621521,
2014,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2065769,
2014,Albania,Total,Total,Number,2895947,e
2014,Serbia,Total,Total,Number,7146759,
2014,Turkey,Total,Total,Number,76667864,
2014,Andorra,Total,Total,Number,,
2014,Belarus,Total,Total,Number,9468154,
2014,Bosnia and Herzegovina,Total,Total,Number,,
2014,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,,
2014,Moldova,Total,Total,Number,3557634,
2014,Monaco,Total,Total,Number,,
2014,Russia,Total,Total,Number,143666931,
2014,San Marino,Total,Total,Number,,
2014,Ukraine,Total,Total,Number,45245894,
2014,Armenia,Total,Total,Number,,
2014,Azerbaijan,Total,Total,Number,9477119,
2014,Georgia,Total,Total,Number,4490498,
2015,European Union (28 countries),Total,Total,Number,508401408,bep
2015,European Union (27 countries),Total,Total,Number,504176092,bep
2015,Euro area (19 countries),Total,Total,Number,338421552,bep
2015,Euro area (18 countries),Total,Total,Number,335500290,bep
2015,Belgium,Total,Total,Number,11208986,b
2015,Bulgaria,Total,Total,Number,7202198,
2015,Czech Republic,Total,Total,Number,10538275,
2015,Denmark,Total,Total,Number,5659715,
2015,Germany (until 1990 former territory of the FRG),Total,Total,Number,81197537,
2015,Germany (including former GDR),Total,Total,Number,81197537,
2015,Estonia,Total,Total,Number,1313271,
2015,Ireland,Total,Total,Number,4628949,p
2015,Greece,Total,Total,Number,10858018,
2015,Spain,Total,Total,Number,46449565,
2015,France,Total,Total,Number,66415161,bp
2015,France (metropolitan),Total,Total,Number,,
2015,Croatia,Total,Total,Number,4225316,
2015,Italy,Total,Total,Number,60795612,
2015,Cyprus,Total,Total,Number,847008,
2015,Latvia,Total,Total,Number,1986096,
2015,Lithuania,Total,Total,Number,2921262,
2015,Luxembourg,Total,Total,Number,562958,
2015,Hungary,Total,Total,Number,9855571,
2015,Malta,Total,Total,Number,429344,
2015,Netherlands,Total,Total,Number,16900726,
2015,Austria,Total,Total,Number,8576261,
2015,Poland,Total,Total,Number,38005614,
2015,Portugal,Total,Total,Number,10374822,e
2015,Romania,Total,Total,Number,19870647,e
2015,Slovenia,Total,Total,Number,2062874,
2015,Slovakia,Total,Total,Number,5421349,
2015,Finland,Total,Total,Number,5471753,
2015,Sweden,Total,Total,Number,9747355,
2015,United Kingdom,Total,Total,Number,64875165,e
2015,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,513934367,bep
2015,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,509709051,bep
2015,European Free Trade Association,Total,Total,Number,13770625,
2015,Iceland,Total,Total,Number,329100,
2015,Liechtenstein,Total,Total,Number,37366,
2015,Norway,Total,Total,Number,5166493,
2015,Switzerland,Total,Total,Number,8237666,
2015,Montenegro,Total,Total,Number,622099,
2015,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2069172,
2015,Albania,Total,Total,Number,2892302,e
2015,Serbia,Total,Total,Number,7114393,
2015,Turkey,Total,Total,Number,77695904,
2015,Andorra,Total,Total,Number,,
2015,Belarus,Total,Total,Number,9480868,
2015,Bosnia and Herzegovina,Total,Total,Number,,
2015,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,,
2015,Moldova,Total,Total,Number,3555159,
