TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value,Flag and Footnotes
2008,Luxembourg,Total,Unknown,From 14 to 17 years,Person,,
2008,Luxembourg,Total,Unknown,From 18 to 34 years,Person,,
2008,Luxembourg,Total,Unknown,35 years or over,Person,,
2008,Hungary,Total,Total,Total,Person,1875,
2008,Hungary,Total,Total,Less than 14 years,Person,10,
2008,Hungary,Total,Total,From 14 to 17 years,Person,15,
2008,Hungary,Total,Total,From 18 to 34 years,Person,885,
2008,Hungary,Total,Total,35 years or over,Person,965,
2008,Hungary,Total,Males,Total,Person,1335,
2008,Hungary,Total,Males,Less than 14 years,Person,10,
2008,Hungary,Total,Males,From 14 to 17 years,Person,5,
2008,Hungary,Total,Males,From 18 to 34 years,Person,640,
2008,Hungary,Total,Males,35 years or over,Person,675,
2008,Hungary,Total,Females,Total,Person,540,
2008,Hungary,Total,Females,Less than 14 years,Person,5,
2008,Hungary,Total,Females,From 14 to 17 years,Person,5,
2008,Hungary,Total,Females,From 18 to 34 years,Person,240,
2008,Hungary,Total,Females,35 years or over,Person,290,
2008,Hungary,Total,Unknown,Total,Person,,
2008,Hungary,Total,Unknown,Less than 14 years,Person,,
2008,Hungary,Total,Unknown,From 14 to 17 years,Person,,
2008,Hungary,Total,Unknown,From 18 to 34 years,Person,,
2008,Hungary,Total,Unknown,35 years or over,Person,,
2008,Malta,Total,Total,Total,Person,3015,
2008,Malta,Total,Total,Less than 14 years,Person,35,
2008,Malta,Total,Total,From 14 to 17 years,Person,170,
2008,Malta,Total,Total,From 18 to 34 years,Person,2640,
2008,Malta,Total,Total,35 years or over,Person,170,
2008,Malta,Total,Males,Total,Person,2615,
2008,Malta,Total,Males,Less than 14 years,Person,20,
2008,Malta,Total,Males,From 14 to 17 years,Person,145,
2008,Malta,Total,Males,From 18 to 34 years,Person,2300,
2008,Malta,Total,Males,35 years or over,Person,145,
2008,Malta,Total,Females,Total,Person,400,
2008,Malta,Total,Females,Less than 14 years,Person,15,
2008,Malta,Total,Females,From 14 to 17 years,Person,25,
2008,Malta,Total,Females,From 18 to 34 years,Person,335,
2008,Malta,Total,Females,35 years or over,Person,25,
2008,Malta,Total,Unknown,Total,Person,,
2008,Malta,Total,Unknown,Less than 14 years,Person,,
2008,Malta,Total,Unknown,From 14 to 17 years,Person,,
2008,Malta,Total,Unknown,From 18 to 34 years,Person,,
2008,Malta,Total,Unknown,35 years or over,Person,,
2008,Netherlands,Total,Total,Total,Person,7505,
2008,Netherlands,Total,Total,Less than 14 years,Person,30,
2008,Netherlands,Total,Total,From 14 to 17 years,Person,200,
2008,Netherlands,Total,Total,From 18 to 34 years,Person,4705,
