"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2013S2","Iceland","Euro",":","z"
"2013S2","Norway","Euro",":","z"
"2013S2","Switzerland","Euro",":","z"
"2013S2","Montenegro","Euro","288.05",""
"2013S2","Former Yugoslav Republic of Macedonia, the","Euro","198.95",""
"2013S2","Albania","Euro",":",""
"2013S2","Serbia","Euro","236.28",""
"2013S2","Turkey","Euro","405.20",""
"2013S2","United States","Euro","960.76",""
"2014S1","Belgium","Euro","1,501.82",""
"2014S1","Bulgaria","Euro","173.84",""
"2014S1","Czech Republic","Euro","309.91",""
"2014S1","Denmark","Euro",":","z"
"2014S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2014S1","Estonia","Euro","355.00",""
"2014S1","Ireland","Euro","1,461.85",""
"2014S1","Greece","Euro","683.76",""
"2014S1","Spain","Euro","752.85",""
"2014S1","France","Euro","1,445.38",""
"2014S1","Croatia","Euro","395.67",""
"2014S1","Italy","Euro",":","z"
"2014S1","Cyprus","Euro",":","z"
"2014S1","Latvia","Euro","320.00",""
"2014S1","Lithuania","Euro","289.62",""
"2014S1","Luxembourg","Euro","1,921.03",""
"2014S1","Hungary","Euro","341.70",""
"2014S1","Malta","Euro","717.95",""
"2014S1","Netherlands","Euro","1,485.60",""
"2014S1","Austria","Euro",":","z"
"2014S1","Poland","Euro","404.40",""
"2014S1","Portugal","Euro","565.83",""
"2014S1","Romania","Euro","190.11",""
"2014S1","Slovenia","Euro","789.15",""
"2014S1","Slovakia","Euro","352.00",""
"2014S1","Finland","Euro",":","z"
"2014S1","Sweden","Euro",":","z"
"2014S1","United Kingdom","Euro","1,251.05",""
"2014S1","Iceland","Euro",":","z"
"2014S1","Norway","Euro",":","z"
"2014S1","Switzerland","Euro",":","z"
"2014S1","Montenegro","Euro","288.05",""
"2014S1","Former Yugoslav Republic of Macedonia, the","Euro","213.62",""
"2014S1","Albania","Euro","156.92",""
"2014S1","Serbia","Euro","235.31",""
"2014S1","Turkey","Euro","361.76",""
"2014S1","United States","Euro","911.22",""
"2014S2","Belgium","Euro","1,501.82",""
"2014S2","Bulgaria","Euro","173.84",""
"2014S2","Czech Republic","Euro","309.62",""
"2014S2","Denmark","Euro",":","z"
"2014S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2014S2","Estonia","Euro","355.00",""
"2014S2","Ireland","Euro","1,461.85",""
"2014S2","Greece","Euro","683.76",""
